Nb_Ring,Ring,Earlywood,Latewood,E/L_ratio,Nb_FRing,Num_FRing,FRing,lumen_area,Equivalent_Diameter,2P_thickness,Tile_ID,Image
,,,,,,,,43.869924,7.473748863,4.2629E-01,Image_8,PB1
,,,,,,,,38.420244,6.994152842,6.357331542,Image_8,PB1
,,,,,,,,36.240372,6.792839962,0,Image_8,PB1
,,,,,,,,135,13.11058117,0,Image_8,PB1
,,,,,,,,143.871552,13.53450957,1.676631326,Image_8,PB1
,,,,,,,,53.406864,8.246194953,4.52397E-01,Image_8,PB1
,,,,,,,,51.226992,8.076152052,8.54474E-02,Image_8,PB1
,,,,,,,,131,12.91488987,0,Image_8,PB1
,,,,,,,,212,16.42944867,0,Image_8,PB1
,,,,,,,,191,15.59451035,2.657091929,Image_8,PB1
,,,,,,,,29.155788,6.092807419,1.0784053,Image_8,PB1
,,,,,,,,35.967888,6.767254786,1.459279107,Image_8,PB1
,,,,,,,,41.145084,7.237924289,2.638153779,Image_8,PB1
,,,,,,,,48.229668,7.836320599,0,Image_8,PB1
,,,,,,,,34.332984,6.611664913,0,Image_8,PB1
,,,,,,,,144,13.54055001,0,Image_8,PB1
,,,,,,,,43.869924,7.473748863,3.183888327,Image_8,PB1
,,,,,,,,49.592088,7.946232286,6.12818E-01,Image_8,PB1
,,,,,,,,67.576032,9.27580057,3.35887962,Image_8,PB1
,,,,,,,,35.967888,6.767254786,0,Image_8,PB1
,,,,,,,,165,14.49429284,0,Image_8,PB1
,,,,,,,,64,9.027033337,0,Image_8,PB1
,,,,,,,,186,15.3890401,0,Image_8,PB1
,,,,,,,,38.692728,7.018910983,1.13743771,Image_8,PB1
,,,,,,,,7.084584,3.003393498,10.8201749,Image_8,PB1
,,,,,,,,24.251076,5.556746257,7.82792E-01,Image_8,PB1
,,,,,,,,28.065852,5.977838457,12.7319241,Image_8,PB1
,,,,,,,,56,8.444016491,0,Image_8,PB1
,,,,,,,,25.88598,5.740997595,0,Image_8,PB1
,,,,,,,,110,11.83454055,0,Image_8,PB1
,,,,,,,,121,12.41217084,8.11436E-01,Image_8,PB1
,,,,,,,,47,7.735777828,8.56178E-01,Image_8,PB1
,,,,,,,,103.271436,11.46687735,3.883679177,Image_8,PB1
,,,,,,,,37.875276,6.944371762,0,Image_8,PB1
,,,,,,,,145,13.58748446,0,Image_8,PB1
,,,,,,,,34.332984,6.611664913,8.41991E-01,Image_9,PB1
,,,,,,,,26.430948,5.801114393,4.3530756,Image_9,PB1
,,,,,,,,65,9.097283683,5.163936357,Image_9,PB1
,,,,,,,,41.145084,7.237924289,0,Image_9,PB1
,,,,,,,,190,15.55363345,0,Image_9,PB1
,,,,,,,,61.853868,8.874389598,2.44421E-01,Image_9,PB1
,,,,,,,,54,8.291859587,0,Image_9,PB1
,,,,,,,,240,17.48077489,NA,Image_9,PB1
,,,,,,,,101.636532,11.3757484,0,Image_9,PB1
,,,,,,,,262,18.26441241,0,Image_9,PB1
,,,,,,,,108.721116,11.76554394,0,Image_9,PB1
,,,,,,,,126.432576,12.68774824,NA,Image_9,PB1
,,,,,,,,49.592088,7.946232286,0,Image_9,PB1
,,,,,,,,74.115648,9.714266515,0,Image_9,PB1
,,,,,,,,175,14.9270533,0,Image_9,PB1
,,,,,,,,137.876904,13.24954061,NA,Image_9,PB1
,,,,,,,,121.527864,12.4392155,0,Image_9,PB1
,,,,,,,,309,19.83509565,0,Image_9,PB1
,,,,,,,,86.922396,10.52012509,0,Image_9,PB1
,,,,,,,,55.586736,8.412801581,2.804244822,Image_9,PB1
,,,,,,,,0.272484,5.89014E-01,5.514288014,Image_9,PB1
,,,,,,,,3,1.954410048,6.98869E-01,Image_9,PB1
,,,,,,,,58.856544,8.656701409,8.832029663,Image_9,PB1
,,,,,,,,109.811052,11.82437203,0,Image_9,PB1
,,,,,,,,299,19.51149979,0,Image_9,PB1
,,,,,,,,54.769284,8.350713636,7.010529242,Image_9,PB1
,,,,,,,,38,6.955796338,0,Image_9,PB1
,,,,,,,,80.655264,10.13377874,0,Image_9,PB1
,,,,,,,,69.755904,9.424222804,0,Image_9,PB1
,,,,,,,,334,20.62188177,0,Image_9,PB1
,,,,,,,,242,17.55346034,0,Image_9,PB1
,,,,,,,,39.782664,7.117082338,0,Image_9,PB1
,,,,,,,,55.586736,8.412801581,0,Image_9,PB1
,,,,,,,,53.13438,8.225131841,0,Image_9,PB1
,,,,,,,,23.978592,5.525440395,3.263979656,Image_10,PB1
,,,,,,,,16.076556,4.524301807,2.520335149,Image_10,PB1
,,,,,,,,14.714136,4.328350705,6.082603833,Image_10,PB1
,,,,,,,,37.057824,6.869023727,4.181175346,Image_10,PB1
,,,,,,,,16.894008,4.637900285,1.022788503,Image_10,PB1
,,,,,,,,103,11.45179781,2.506545372,Image_10,PB1
,,,,,,,,44.687376,7.543058682,0,Image_10,PB1
,,,,,,,,148,13.72732504,9.79821E-01,Image_10,PB1
,,,,,,,,49.319604,7.924371908,0,Image_10,PB1
,,,,,,,,183,15.26443044,0,Image_10,PB1
,,,,,,,,101.364048,11.36048918,0,Image_10,PB1
,,,,,,,,160,14.27299293,0,Image_10,PB1
,,,,,,,,50.954508,8.054644286,0,Image_10,PB1
,,,,,,,,220,16.73656774,0,Image_10,PB1
,,,,,,,,59.129028,8.67671693,1.737495103,Image_10,PB1
,,,,,,,,28.338336,6.006786997,3.586329325,Image_10,PB1
,,,,,,,,34.877952,6.663931852,5.401484093,Image_10,PB1
,,,,,,,,137.331936,13.22332983,0,Image_10,PB1
,,,,,,,,117.985572,12.25658582,1.804708772,Image_10,PB1
,,,,,,,,34.332984,6.611664913,1.66208E-01,Image_10,PB1
,,,,,,,,190,15.55363345,0,Image_10,PB1
,,,,,,,,30,6.180387232,0,Image_10,PB1
,,,,,,,,205,16.15593101,0,Image_10,PB1
,,,,,,,,157,14.13855044,0,Image_10,PB1
,,,,,,,,40,7.136496465,5.676464706,Image_10,PB1
,,,,,,,,85.015008,10.40406027,1.183752043,Image_10,PB1
,,,,,,,,57.22164,8.535622699,8.30374E-02,Image_10,PB1
,,,,,,,,52.316928,8.161616359,2.41438803,Image_10,PB1
,,,,,,,,345,20.95871282,0,Image_10,PB1
,,,,,,,,14.169168,4.247439819,6.577398471,Image_10,PB1
,,,,,,,,77.65794,9.943699521,2.205695417,Image_10,PB1
,,,,,,,,24.251076,5.556746257,3.8985887,Image_10,PB1
,,,,,,,,14.98662,4.368244181,0,Image_10,PB1
,,,,,,,,101.364048,11.36048918,8.712713004,Image_10,PB1
,,,,,,,,25.341012,5.680244588,3.999367822,Image_10,PB1
,,,,,,,,39.782664,7.117082338,1.739663508,Image_10,PB1
,,,,,,,,97.004304,11.11349251,0,Image_10,PB1
,,,,,,,,247,17.73387063,0,Image_11,PB1
,,,,,,,,322,20.24804024,0,Image_11,PB1
,,,,,,,,104.361372,11.52722975,0,Image_11,PB1
,,,,,,,,324,20.31082501,0,Image_11,PB1
,,,,,,,,88.284816,10.60225065,5.420103106,Image_11,PB1
,,,,,,,,225,16.92568751,0,Image_11,PB1
,,,,,,,,93.462012,10.90869055,0,Image_11,PB1
,,,,,,,,236,17.33448968,1.799734136,Image_11,PB1
,,,,,,,,0.272484,5.89014E-01,10.90223187,Image_11,PB1
,,,,,,,,42.507504,7.356781568,7.386005773,Image_11,PB1
,,,,,,,,0.544968,8.32991E-01,11.01711043,Image_11,PB1
