Image_ID,IoU,Precision,Recall,F1_Score,Num_Masks,Num_Masks_Label
X200_ECH8XS1(2).jpg_imagette_1_19.jpg,0.226694718003273,0.30453652143478394,0.4700263440608978,0.3696025013923645,1,90763
X200_ECH8XS1(2).jpg_imagette_1_4.jpg,0.42127725481987,0.6049354076385498,0.5811707973480225,0.5928150415420532,1,121269
X200_ECH8XS1(2).jpg_imagette_1_7.jpg,0.4236753284931183,0.9848099946975708,0.42646220326423645,0.5951853394508362,1,196416
X200_ECH8XS1(2).jpg_imagette_1_9.jpg,0.5446186661720276,0.8588019609451294,0.5981811881065369,0.7051820158958435,1,179128
X200_ECH8XS1(2).jpg_imagette_21_10.jpg,0.4317205548286438,0.8033266067504883,0.482744425535202,0.6030793786048889,1,172582
X200_ECH8XS1(2).jpg_imagette_22_5.jpg,0.35225191712379456,0.496792197227478,0.5476561784744263,0.5209856629371643,1,135313
X200_MSM08-14CT(2).jpg_imagette_1_28.jpg,0.3894844651222229,0.4654834270477295,0.7046261429786682,0.5606172680854797,1,75484
X200_MSM08-14CT(2).jpg_imagette_3_17.jpg,0.5711000561714172,0.6471927762031555,0.829275369644165,0.7270066142082214,1,68877
X200_MSM08-14CT(2).jpg_imagette_3_18.jpg,0.5404662489891052,0.584796130657196,0.8769955635070801,0.701691746711731,1,88322
X200_MSM08-14CT(2).jpg_imagette_3_21.jpg,0.592980682849884,0.7107685208320618,0.7815749645233154,0.7444919943809509,1,96738
X200_MSM08-14CT(2).jpg_imagette_3_23.jpg,0.6293293833732605,0.8842593431472778,0.6858225464820862,0.7725011110305786,1,125636
X200_MSM08-14CT(2).jpg_imagette_3_29.jpg,0.6205697059631348,0.9059818387031555,0.663284957408905,0.7658661007881165,1,186395
X200_MSM08-14CT(2).jpg_imagette_4_27.jpg,0.6382811665534973,0.8921899795532227,0.6916250586509705,0.7792083024978638,1,153923
X200_MSM08-14CT(2).jpg_imagette_8_27.jpg,0.6288303136825562,0.9721707105636597,0.640357255935669,0.7721250057220459,1,156294
X200_MSM08-14CT(2).jpg_imagette_8_28.jpg,0.6126862168312073,0.9607298970222473,0.6284242868423462,0.7598331570625305,1,139993
X200_MSM08-14CT(2).jpg_imagette_8_29.jpg,0.6308264136314392,0.9693107008934021,0.6436824202537537,0.7736278772354126,1,152162
X200_MSM08-20CT(2).jpg_imagette_1_5.jpg,0.46738991141319275,0.6616239547729492,0.6142096519470215,0.6370357275009155,1,131657
X200_MSM08-20CT(2).jpg_imagette_8_12.jpg,0.48285287618637085,0.6203550100326538,0.6853803396224976,0.6512485146522522,1,124223
