Image_ID,Mask_ID,Centroid_X,Centroid_Y,Area,Equivalent_Diameter
Image_0,193,487.890756302521,213.38375350140055,357,21.320096563347295
Image_0,179,486.3717472118959,188.90334572490707,269,18.5067943613625
Image_0,2,485.53846153846155,546.1153846153846,338,20.7449985808745
Image_0,209,484.84255319148934,168.02978723404254,235,17.297725082009
Image_0,5,483.2023460410557,522.3519061583578,341,20.83685880248485
Image_0,478,481.67905405405406,145.19932432432432,296,19.413369239820483
Image_0,188,481.6216216216216,156.40540540540542,37,6.863662517577698
Image_0,6,479.07563025210084,494.12394957983196,476,24.61832697999475
Image_0,181,477.4336917562724,100.14695340501792,279,18.847647942942654
Image_0,3,475.82875264270615,463.41649048625794,473,24.54062559633988
Image_0,183,475.68503937007875,79.6732283464567,254,17.983404693292407
Image_0,15,474.19191919191917,435.75,396,22.45446191105733
Image_0,439,472.07077625570776,409.88584474885846,438,23.615226456547084
Image_0,403,472.0325203252033,57.983739837398375,246,17.697935698969246
Image_0,409,470.0869565217391,35.90909090909091,253,17.94796937867892
Image_0,434,469.4711779448622,382.32581453634083,399,22.539356209735228
Image_0,165,467.83977900552486,9.91988950276243,362,21.468877828012552
Image_0,224,465.93333333333334,351.4921568627451,510,25.482389366284572
Image_0,190,462.7154150197629,318.1166007905138,506,25.38226171238474
Image_0,0,461.3262599469496,622.4933687002653,377,21.909160375631842
Image_0,206,460.34267912772583,290.46105919003116,321,20.216574731145414
Image_0,12,459.75,598.8576923076923,260,18.19456736586892
Image_0,197,458.5623100303951,265.45288753799394,329,20.466944330257718
Image_0,19,456.9040590405904,578.6752767527676,271,18.575465448360347
Image_0,189,455.4760820045558,240.41230068337129,439,23.642169108157916
Image_0,9,454.6886075949367,554.587341772152,395,22.42609239636699
Image_0,192,453.590799031477,212.5641646489104,413,22.93137440223813
Image_0,8,452.11583011583014,530.8108108108108,259,18.159544104586082
Image_0,18,450.4915824915825,508.7171717171717,297,19.44613444328572
Image_0,163,448.71460674157305,152.0,445,23.803184606416586
Image_0,127,446.09053497942386,488.5061728395062,243,17.58969042850512
Image_0,136,445.70222222222225,450.7866666666667,225,16.925687506432688
Image_0,170,445.6536458333333,126.36197916666667,384,22.111625566165472
Image_0,436,445.55956678700363,469.7581227436823,277,18.77997214831907
Image_0,160,443.98369565217394,100.73641304347827,368,21.646065519224038
Image_0,229,442.9381443298969,428.192439862543,291,19.248706645328987
Image_0,45,442.26582278481015,428.90717299578057,237,17.371176474327626
Image_0,41,441.1758241758242,628.4065934065934,182,15.222667215103916
Image_0,152,440.919689119171,75.74611398963731,386,22.16913314200113
Image_0,42,440.35751295336786,604.3056994818653,193,15.67594437773643
Image_0,223,439.4931506849315,403.72328767123287,365,21.557653718072718
Image_0,159,438.62863534675614,49.6420581655481,447,23.85661494212072
